Gene	Stage
LOC400578	Prog
FGFR4	Prog
NDN	Prog
NAE1	Prog
MARS	Prog
FST	Prog
GNL3	Prog
MAGED2	Prog
XPO7	Prog
SNRNP40	Prog
PLEKHB2	Prog
FGF13	Prog
HS.193557	Prog
PGAM4	Prog
LOC133993	Prog
C17ORF58	Prog
TUBG1	Prog
COMMD4	Prog
UNKL	Prog
LOC642956	Prog
CTSL1	Prog
ZWINT	Prog
LOC646347	Prog
SCNM1	Prog
TMEM194A	Prog
MTA3	Prog
SV2B	Prog
IDS	Prog
ZNF286A	Prog
PLCXD3	Prog
KIF11	Prog
USP10	Prog
TAF9L	Prog
RSL1D1	Prog
CRMP1	Prog
EFTUD2	Prog
ASH2L	Prog
DAB2	Prog
LOC113386	Prog
CMTM3	Prog
RAB5C	Prog
CNTNAP1	Prog
HEATR6	Prog
ID1	Prog
UGT3A1	Prog
CCT7	Prog
PSMB3	Prog
RPS3	Prog
KHSRP	Prog
TMEM107	Prog
C7ORF28B	Prog
ZNF280A	Prog
ENO3	Prog
LOC100134393	Prog
BUB1	Prog
BCAT2	Prog
RAD21	Prog
LOC642590	Prog
LOC400657	Prog
PJA1	Prog
PSMB4	Prog
DDX10	Prog
MRPS23	Prog
ANAPC11	Prog
GTF2H2B	Prog
YARS	Prog
PSMB5	Prog
MAP1B	Prog
C19ORF62	Prog
API5	Prog
HNRNPD	Prog
FRMD6	Prog
RPL13	Prog
ZNF30	Prog
GRAMD1A	Prog
PA2G4	Prog
CDC25A	Prog
CCND2	Prog
TMEM177	Prog
S100A10	Prog
ZSCAN10	Prog
CXCR4	Prog
IGDCC3	Prog
C16ORF68	Prog
PRKCQ	Prog
AKIRIN1	Prog
FOXI2	Prog
FLOT2	Prog
LOC541471	Prog
NUP107	Prog
ZDHHC9	Prog
GRIA3	Prog
TAF2	Prog
HDGF2	Prog
CKS2	Prog
FRAP1	Prog
UBE2O	Prog
SOX15	Prog
CTH	Prog
XPOT	Prog
CENPA	Prog
ADM2	Prog
LOC730029	Prog
PHLDB2	Prog
TUBG1	Prog
TMEM98	Prog
IMPDH2	Prog
CDCA8	Prog
YWHAZ	Prog
C16ORF59	Prog
HMBS	Prog
S100A10	Prog
HS.575696	Prog
NCKAP1	Prog
PRDX1	Prog
TMEM100	Prog
CKS1B	Prog
EXTL2	Prog
C7ORF44	Prog
C12ORF64	Prog
FXR1	Prog
TOMM20	Prog
KIF20B	Prog
PPIL1	Prog
CARM1	Prog
EIF2B1	Prog
PIPSL	Prog
AIF1L	Prog
FER1L3	Prog
EXOC7	Prog
LYAR	Prog
CHEK1	Prog
TTK	Prog
RPA3	Prog
PRPF8	Prog
DIABLO	Prog
PAICS	Prog
FKBP1A	Prog
TPX2	Prog
LOC400174	Prog
HMGB3	Prog
SLC29A1	Prog
CHD7	Prog
ROMO1	Prog
RASL11B	Prog
TMEM160	Prog
MED27	Prog
PRIM1	Prog
LOC100129585	Prog
SNURF	Prog
RRAGB	Prog
LOC100131360	Prog
ZNF326	Prog
AATF	Prog
WBP5	Prog
FRAS1	Prog
ACTB	Prog
WDR1	Prog
MAD2L2	Prog
MTTP	Prog
CLDN6	Prog
CCNC	Prog
DPPA3	Prog
SKP2	Prog
HIATL1	Prog
CXXC4	Prog
PRIM1	Prog
HSPA4	Prog
ZC4H2	Prog
NUP85	Prog
PANX2	Prog
PCK2	Prog
PGAM1	Prog
WDR12	Prog
EPHB2	Prog
ALPL	Prog
CTPS2	Prog
ADM	Prog
TMEM135	Prog
LOC642852	Prog
CYP27A1	Prog
SPARC	Prog
CYP1B1	Prog
NXN	Prog
LOC100131138	Prog
C7ORF20	Prog
SLC7A3	Prog
TAF12	Prog
FOXA3	Prog
DDC	Prog
AK3L1	Prog
AGXT2L1	Prog
FAM181B	Prog
GPR37	Prog
PRKAB2	Prog
LOC401002	Prog
NRGN	Prog
RNPS1	Prog
LAS1L	Prog
AIMP2	Prog
MTHFD1L	Prog
UTP14A	Prog
GTF2E1	Prog
OVOL2	Prog
CKS2	Prog
