Gene	Stage
S100A11	Prog
S100A10	Prog
ANXA2	Prog
RHOC	Prog
TMSB10	Prog
RPL18A	Prog
GPC3	Prog
KRT8	Prog
ANXA5	Prog
CYBA	Prog
RBP1	Prog
TAGLN2	Prog
MYL6	Prog
VIM	Prog
CD24	Prog
LAPTM4B	Prog
KRT18	Prog
TPM4	Prog
NINJ1	Prog
ORMDL2	Prog
PDLIM1	Prog
BOLA2	Prog
LUZP1	Prog
SNRPD1	Prog
TIMP1	Prog
TIMM13	Prog
GOLM1	Prog
RBX1	Prog
SRM	Prog
MPZL1	Prog
TGFBI	Prog
FABP5	Prog
APOE	Prog
EIF6	Prog
NME1	Prog
PHLDA2	Prog
POMP	Prog
TES	Prog
UFD1L	Prog
FTH1	Prog
SUB1	Prog
RPL8	Prog
RPS5	Prog
BOLA2B	Prog
MARCKS	Prog
PDCD5	Prog
SRPK1	Prog
GMFB	Prog
SNRPC	Prog
TXNDC9	Prog
SLC38A1	Prog
UCHL3	Prog
C20ORF24	Prog
NFU1	Prog
LSM7	Prog
S100A16	Prog
TXN	Prog
RPS14	Prog
CARHSP1	Prog
EEF1E1	Prog
EIF4A1	Prog
RPS3	Prog
ARPC1B	Prog
ARPC2	Prog
CD63	Prog
CENPV	Prog
EMC6	Prog
LSM4	Prog
STIP1	Prog
TMSB4X	Prog
COA4	Prog
MYL12B	Prog
SOD2	Prog
SQRDL	Prog
VAMP5	Prog
GTF2H2C	Prog
RPL18	Prog
GTF3C6	Prog
HIST1H2BK	Prog
TBCB	Prog
HIF1A	Prog
RPS23	Prog
FARSB	Prog
RAB11A	Prog
SRP14	Prog
CNIH4	Prog
EIF4E2	Prog
MARCKSL1	Prog
RPL35	Prog
BCAP31	Prog
PSMD14	Prog
RPS15	Prog
C19ORF33	Prog
GNAS	Prog
EDARADD	Prog
VAMP8	Prog
HM13	Prog
IFI6	Prog
APRT	Prog
CCT8	Prog
CIB1	Prog
CMTM3	Prog
RPL29	Prog
ZYX	Prog
SRSF5	Prog
YWHAB	Prog
DYNLL1	Prog
HN1	Prog
ALAS2	Prog
MRPL23	Prog
NPM1	Prog
DCTN2	Prog
NACA	Prog
RNF181	Prog
PHB	Prog
BUD31	Prog
RPL5	Prog
TCEB1	Prog
ACTN1	Prog
ATP6V0E1	Prog
BLOC1S2	Prog
CKLF	Prog
FAU	Prog
GTF3A	Prog
HNRNPC	Prog
KYNU	Prog
MSN	Prog
NOP56	Prog
TLN1	Prog
UBE2N	Prog
CD151	Prog
FXYD2	Prog
RPL22L1	Prog
ZNF207	Prog
DPH3	Prog
GTPBP4	Prog
SEC61G	Prog
ABCE1	Prog
BTF3	Prog
C14ORF166	Prog
CALM2	Prog
MX1	Prog
TRNP1	Prog
ALG3	Prog
AURKAIP1	Prog
M6PR	Prog
NIP7	Prog
SCAMP3	Prog
PSMB6	Prog
RPS10	Prog
RSL1D1	Prog
XRCC6	Prog
YTHDF2	Prog
CCT3	Prog
