"CellID"	"Plate"	"Well"	"Type"
"21698_7_1"	"0869"	"A01"	"50cells HCC6"
"21698_7_2"	"0869"	"A02"	"25cells HCC6"
"21698_7_3"	"0869"	"A03"	"HCC6"
"21698_7_4"	"0869"	"A04"	"HCC6"
"21698_7_5"	"0869"	"A05"	"HCC6"
"21698_7_6"	"0869"	"A06"	"HCC6"
"21698_7_7"	"0869"	"A07"	"HCC6"
"21698_7_8"	"0869"	"A08"	"HCC6"
"21698_7_9"	"0869"	"A09"	"HCC10"
"21698_7_10"	"0869"	"A10"	"HCC10"
"21698_7_11"	"0869"	"A11"	"HCC10"
"21698_7_12"	"0869"	"A12"	"HCC10"
"21698_7_13"	"0869"	"A13"	"HCC10"
"21698_7_14"	"0869"	"A14"	"HCC10"
"21698_7_15"	"0869"	"A15"	"HCC10"
"21698_7_16"	"0869"	"A16"	"HCC10"
"21698_7_17"	"0869"	"A17"	"CCA1"
"21698_7_18"	"0869"	"A18"	"CCA1"
"21698_7_19"	"0869"	"A19"	"CCA1"
"21698_7_20"	"0869"	"A20"	"CCA1"
"21698_7_21"	"0869"	"A21"	"CCA1"
"21698_7_22"	"0869"	"A22"	"CCA1"
"21698_7_23"	"0869"	"A23"	"CCA1"
"21698_7_24"	"0869"	"A24"	"CCA1"
"21698_7_25"	"0869"	"B01"	"50cells HCC10"
"21698_7_26"	"0869"	"B02"	"25cells HCC10"
"21698_7_27"	"0869"	"B03"	"HCC6"
"21698_7_28"	"0869"	"B04"	"HCC6"
"21698_7_29"	"0869"	"B05"	"HCC6"
"21698_7_30"	"0869"	"B06"	"HCC6"
"21698_7_31"	"0869"	"B07"	"HCC6"
"21698_7_32"	"0869"	"B08"	"HCC6"
"21698_7_33"	"0869"	"B09"	"HCC10"
"21698_7_34"	"0869"	"B10"	"HCC10"
"21698_7_35"	"0869"	"B11"	"HCC10"
"21698_7_36"	"0869"	"B12"	"HCC10"
"21698_7_37"	"0869"	"B13"	"HCC10"
"21698_7_38"	"0869"	"B14"	"HCC10"
"21698_7_39"	"0869"	"B15"	"HCC10"
"21698_7_40"	"0869"	"B16"	"HCC10"
"21698_7_41"	"0869"	"B17"	"CCA1"
"21698_7_42"	"0869"	"B18"	"CCA1"
"21698_7_43"	"0869"	"B19"	"CCA1"
"21698_7_44"	"0869"	"B20"	"CCA1"
"21698_7_45"	"0869"	"B21"	"CCA1"
"21698_7_46"	"0869"	"B22"	"CCA1"
"21698_7_47"	"0869"	"B23"	"CCA1"
"21698_7_48"	"0869"	"B24"	"CCA1"
"21698_7_49"	"0869"	"C01"	"50cells CCA1"
"21698_7_50"	"0869"	"C02"	"25cells CCA1"
"21698_7_51"	"0869"	"C03"	"HCC6"
"21698_7_52"	"0869"	"C04"	"HCC6"
"21698_7_53"	"0869"	"C05"	"HCC6"
"21698_7_54"	"0869"	"C06"	"HCC6"
"21698_7_55"	"0869"	"C07"	"HCC6"
"21698_7_56"	"0869"	"C08"	"HCC6"
"21698_7_57"	"0869"	"C09"	"HCC10"
"21698_7_58"	"0869"	"C10"	"HCC10"
"21698_7_59"	"0869"	"C11"	"HCC10"
"21698_7_60"	"0869"	"C12"	"HCC10"
"21698_7_61"	"0869"	"C13"	"HCC10"
"21698_7_62"	"0869"	"C14"	"HCC10"
"21698_7_63"	"0869"	"C15"	"HCC10"
"21698_7_64"	"0869"	"C16"	"HCC10"
"21698_7_65"	"0869"	"C17"	"CCA1"
"21698_7_66"	"0869"	"C18"	"CCA1"
"21698_7_67"	"0869"	"C19"	"CCA1"
"21698_7_68"	"0869"	"C20"	"CCA1"
"21698_7_69"	"0869"	"C21"	"CCA1"
"21698_7_70"	"0869"	"C22"	"CCA1"
"21698_7_71"	"0869"	"C23"	"CCA1"
"21698_7_72"	"0869"	"C24"	"CCA1"
"21698_7_73"	"0869"	"D01"	"HCC6"
"21698_7_74"	"0869"	"D02"	"HCC6"
"21698_7_75"	"0869"	"D03"	"HCC6"
"21698_7_76"	"0869"	"D04"	"HCC6"
"21698_7_77"	"0869"	"D05"	"HCC6"
"21698_7_78"	"0869"	"D06"	"HCC6"
"21698_7_79"	"0869"	"D07"	"HCC6"
"21698_7_80"	"0869"	"D08"	"HCC6"
"21698_7_81"	"0869"	"D09"	"HCC10"
"21698_7_82"	"0869"	"D10"	"HCC10"
"21698_7_83"	"0869"	"D11"	"HCC10"
"21698_7_84"	"0869"	"D12"	"HCC10"
"21698_7_85"	"0869"	"D13"	"HCC10"
"21698_7_86"	"0869"	"D14"	"HCC10"
"21698_7_87"	"0869"	"D15"	"HCC10"
"21698_7_88"	"0869"	"D16"	"HCC10"
"21698_7_89"	"0869"	"D17"	"CCA1"
"21698_7_90"	"0869"	"D18"	"CCA1"
"21698_7_91"	"0869"	"D19"	"CCA1"
"21698_7_92"	"0869"	"D20"	"CCA1"
"21698_7_93"	"0869"	"D21"	"CCA1"
"21698_7_94"	"0869"	"D22"	"CCA1"
"21698_7_95"	"0869"	"D23"	"CCA1"
"21698_7_96"	"0869"	"D24"	"CCA1"
"21698_7_97"	"0869"	"E01"	"HCC6"
"21698_7_98"	"0869"	"E02"	"HCC6"
"21698_7_99"	"0869"	"E03"	"HCC6"
"21698_7_100"	"0869"	"E04"	"HCC6"
"21698_7_101"	"0869"	"E05"	"HCC6"
"21698_7_102"	"0869"	"E06"	"HCC6"
"21698_7_103"	"0869"	"E07"	"HCC6"
"21698_7_104"	"0869"	"E08"	"HCC6"
"21698_7_105"	"0869"	"E09"	"HCC10"
"21698_7_106"	"0869"	"E10"	"HCC10"
"21698_7_107"	"0869"	"E11"	"HCC10"
"21698_7_108"	"0869"	"E12"	"HCC10"
"21698_7_109"	"0869"	"E13"	"HCC10"
"21698_7_110"	"0869"	"E14"	"HCC10"
"21698_7_111"	"0869"	"E15"	"HCC10"
"21698_7_112"	"0869"	"E16"	"HCC10"
"21698_7_113"	"0869"	"E17"	"CCA1"
"21698_7_114"	"0869"	"E18"	"CCA1"
"21698_7_115"	"0869"	"E19"	"CCA1"
"21698_7_116"	"0869"	"E20"	"CCA1"
"21698_7_117"	"0869"	"E21"	"CCA1"
"21698_7_118"	"0869"	"E22"	"CCA1"
"21698_7_119"	"0869"	"E23"	"CCA1"
"21698_7_120"	"0869"	"E24"	"CCA1"
"21698_7_121"	"0869"	"F01"	"HCC6"
"21698_7_122"	"0869"	"F02"	"HCC6"
"21698_7_123"	"0869"	"F03"	"HCC6"
"21698_7_124"	"0869"	"F04"	"HCC6"
