"CellID"	"Plate"	"Well"	"File"	"Type"
"25078_3_1"	"3318"	"A01"	"1"	"50cells Donor-9-DM"
"25078_3_2"	"3318"	"A02"	"2"	"25cells Donor-9-DM"
"25078_3_3"	"3318"	"A03"	"3"	"Donor-9-DM"
"25078_3_4"	"3318"	"A04"	"4"	"Donor-9-DM"
"25078_3_5"	"3318"	"A05"	"5"	"Donor-9-DM"
"25078_3_6"	"3318"	"A06"	"6"	"Donor-9-DM"
"25078_3_7"	"3318"	"A07"	"7"	"Donor-9-DM"
"25078_3_8"	"3318"	"A08"	"8"	"Donor-9-DM"
"25078_3_9"	"3318"	"A09"	"9"	"Donor-9-DM"
"25078_3_10"	"3318"	"A10"	"10"	"Donor-9-DM"
"25078_3_11"	"3318"	"A11"	"11"	"Donor-9-DM"
"25078_3_12"	"3318"	"A12"	"12"	"Donor-9-DM"
"25078_3_13"	"3318"	"A13"	"13"	"Donor-9-EM"
"25078_3_14"	"3318"	"A14"	"14"	"Donor-9-EM"
"25078_3_15"	"3318"	"A15"	"15"	"Donor-9-EM"
"25078_3_16"	"3318"	"A16"	"16"	"Donor-9-EM"
"25078_3_17"	"3318"	"A17"	"17"	"Donor-9-EM"
"25078_3_18"	"3318"	"A18"	"18"	"Donor-9-EM"
"25078_3_19"	"3318"	"A19"	"19"	"Donor-9-EM"
"25078_3_20"	"3318"	"A20"	"20"	"Donor-9-EM"
"25078_3_21"	"3318"	"A21"	"21"	"Donor-9-EM"
"25078_3_22"	"3318"	"A22"	"22"	"Donor-9-EM"
"25078_3_23"	"3318"	"A23"	"23"	"Donor-9-EM"
"25078_3_24"	"3318"	"A24"	"24"	"Donor-9-EM"
"25078_3_25"	"3318"	"B01"	"25"	"50cells Donor-9-EM"
"25078_3_26"	"3318"	"B02"	"26"	"25cells Donor-9-EM"
"25078_3_27"	"3318"	"B03"	"27"	"Donor-9-DM"
"25078_3_28"	"3318"	"B04"	"28"	"Donor-9-DM"
"25078_3_29"	"3318"	"B05"	"29"	"Donor-9-DM"
"25078_3_30"	"3318"	"B06"	"30"	"Donor-9-DM"
"25078_3_31"	"3318"	"B07"	"31"	"Donor-9-DM"
"25078_3_32"	"3318"	"B08"	"32"	"Donor-9-DM"
"25078_3_33"	"3318"	"B09"	"33"	"Donor-9-DM"
"25078_3_34"	"3318"	"B10"	"34"	"Donor-9-DM"
"25078_3_35"	"3318"	"B11"	"35"	"Donor-9-DM"
"25078_3_36"	"3318"	"B12"	"36"	"Donor-9-DM"
"25078_3_37"	"3318"	"B13"	"37"	"Donor-9-EM"
"25078_3_38"	"3318"	"B14"	"38"	"Donor-9-EM"
"25078_3_39"	"3318"	"B15"	"39"	"Donor-9-EM"
"25078_3_40"	"3318"	"B16"	"40"	"Donor-9-EM"
"25078_3_41"	"3318"	"B17"	"41"	"Donor-9-EM"
"25078_3_42"	"3318"	"B18"	"42"	"Donor-9-EM"
"25078_3_43"	"3318"	"B19"	"43"	"Donor-9-EM"
"25078_3_44"	"3318"	"B20"	"44"	"Donor-9-EM"
"25078_3_45"	"3318"	"B21"	"45"	"Donor-9-EM"
"25078_3_46"	"3318"	"B22"	"46"	"Donor-9-EM"
"25078_3_47"	"3318"	"B23"	"47"	"Donor-9-EM"
"25078_3_48"	"3318"	"B24"	"48"	"Donor-9-EM"
"25078_3_49"	"3318"	"C01"	"49"	"Donor-9-DM"
"25078_3_50"	"3318"	"C02"	"50"	"Donor-9-DM"
"25078_3_51"	"3318"	"C03"	"51"	"Donor-9-DM"
"25078_3_52"	"3318"	"C04"	"52"	"Donor-9-DM"
"25078_3_53"	"3318"	"C05"	"53"	"Donor-9-DM"
"25078_3_54"	"3318"	"C06"	"54"	"Donor-9-DM"
"25078_3_55"	"3318"	"C07"	"55"	"Donor-9-DM"
"25078_3_56"	"3318"	"C08"	"56"	"Donor-9-DM"
"25078_3_57"	"3318"	"C09"	"57"	"Donor-9-DM"
"25078_3_58"	"3318"	"C10"	"58"	"Donor-9-DM"
"25078_3_59"	"3318"	"C11"	"59"	"Donor-9-DM"
"25078_3_60"	"3318"	"C12"	"60"	"Donor-9-DM"
"25078_3_61"	"3318"	"C13"	"61"	"Donor-9-EM"
"25078_3_62"	"3318"	"C14"	"62"	"Donor-9-EM"
"25078_3_63"	"3318"	"C15"	"63"	"Donor-9-EM"
"25078_3_64"	"3318"	"C16"	"64"	"Donor-9-EM"
"25078_3_65"	"3318"	"C17"	"65"	"Donor-9-EM"
"25078_3_66"	"3318"	"C18"	"66"	"Donor-9-EM"
"25078_3_67"	"3318"	"C19"	"67"	"Donor-9-EM"
"25078_3_68"	"3318"	"C20"	"68"	"Donor-9-EM"
"25078_3_69"	"3318"	"C21"	"69"	"Donor-9-EM"
"25078_3_70"	"3318"	"C22"	"70"	"Donor-9-EM"
"25078_3_71"	"3318"	"C23"	"71"	"Donor-9-EM"
"25078_3_72"	"3318"	"C24"	"72"	"Donor-9-EM"
"25078_3_73"	"3318"	"D01"	"73"	"Donor-9-DM"
"25078_3_74"	"3318"	"D02"	"74"	"Donor-9-DM"
"25078_3_75"	"3318"	"D03"	"75"	"Donor-9-DM"
"25078_3_76"	"3318"	"D04"	"76"	"Donor-9-DM"
"25078_3_77"	"3318"	"D05"	"77"	"Donor-9-DM"
"25078_3_78"	"3318"	"D06"	"78"	"Donor-9-DM"
"25078_3_79"	"3318"	"D07"	"79"	"Donor-9-DM"
"25078_3_80"	"3318"	"D08"	"80"	"Donor-9-DM"
"25078_3_81"	"3318"	"D09"	"81"	"Donor-9-DM"
"25078_3_82"	"3318"	"D10"	"82"	"Donor-9-DM"
"25078_3_83"	"3318"	"D11"	"83"	"Donor-9-DM"
"25078_3_84"	"3318"	"D12"	"84"	"Donor-9-DM"
"25078_3_85"	"3318"	"D13"	"85"	"Donor-9-EM"
"25078_3_86"	"3318"	"D14"	"86"	"Donor-9-EM"
"25078_3_87"	"3318"	"D15"	"87"	"Donor-9-EM"
"25078_3_88"	"3318"	"D16"	"88"	"Donor-9-EM"
"25078_3_89"	"3318"	"D17"	"89"	"Donor-9-EM"
