"CellID"	"Plate"	"Well"	"File"	"Type"
"24906_6_1"	"3314"	"A01"	"1"	"50cells Donor-3-DM"
"24906_6_2"	"3314"	"A02"	"2"	"25cells Donor-3-DM"
"24906_6_3"	"3314"	"A03"	"3"	"Donor-3-DM"
"24906_6_4"	"3314"	"A04"	"4"	"Donor-3-DM"
"24906_6_5"	"3314"	"A05"	"5"	"Donor-3-DM"
"24906_6_6"	"3314"	"A06"	"6"	"Donor-3-DM"
"24906_6_7"	"3314"	"A07"	"7"	"Donor-3-DM"
"24906_6_8"	"3314"	"A08"	"8"	"Donor-3-DM"
"24906_6_9"	"3314"	"A09"	"9"	"Donor-3-DM"
"24906_6_10"	"3314"	"A10"	"10"	"Donor-3-DM"
"24906_6_11"	"3314"	"A11"	"11"	"Donor-3-DM"
"24906_6_12"	"3314"	"A12"	"12"	"Donor-3-DM"
"24906_6_13"	"3314"	"A13"	"13"	"Donor-3-EM"
"24906_6_14"	"3314"	"A14"	"14"	"Donor-3-EM"
"24906_6_15"	"3314"	"A15"	"15"	"Donor-3-EM"
"24906_6_16"	"3314"	"A16"	"16"	"Donor-3-EM"
"24906_6_17"	"3314"	"A17"	"17"	"Donor-3-EM"
"24906_6_18"	"3314"	"A18"	"18"	"Donor-3-EM"
"24906_6_19"	"3314"	"A19"	"19"	"Donor-3-EM"
"24906_6_20"	"3314"	"A20"	"20"	"Donor-3-EM"
"24906_6_21"	"3314"	"A21"	"21"	"Donor-3-EM"
"24906_6_22"	"3314"	"A22"	"22"	"Donor-3-EM"
"24906_6_23"	"3314"	"A23"	"23"	"Donor-3-EM"
"24906_6_24"	"3314"	"A24"	"24"	"Donor-3-EM"
"24906_6_25"	"3314"	"B01"	"25"	"50cells Donor-3-EM"
"24906_6_26"	"3314"	"B02"	"26"	"25cells Donor-3-EM"
"24906_6_27"	"3314"	"B03"	"27"	"Donor-3-DM"
"24906_6_28"	"3314"	"B04"	"28"	"Donor-3-DM"
"24906_6_29"	"3314"	"B05"	"29"	"Donor-3-DM"
"24906_6_30"	"3314"	"B06"	"30"	"Donor-3-DM"
"24906_6_31"	"3314"	"B07"	"31"	"Donor-3-DM"
"24906_6_32"	"3314"	"B08"	"32"	"Donor-3-DM"
"24906_6_33"	"3314"	"B09"	"33"	"Donor-3-DM"
"24906_6_34"	"3314"	"B10"	"34"	"Donor-3-DM"
"24906_6_35"	"3314"	"B11"	"35"	"Donor-3-DM"
"24906_6_36"	"3314"	"B12"	"36"	"Donor-3-DM"
"24906_6_37"	"3314"	"B13"	"37"	"Donor-3-EM"
"24906_6_38"	"3314"	"B14"	"38"	"Donor-3-EM"
"24906_6_39"	"3314"	"B15"	"39"	"Donor-3-EM"
"24906_6_40"	"3314"	"B16"	"40"	"Donor-3-EM"
"24906_6_41"	"3314"	"B17"	"41"	"Donor-3-EM"
"24906_6_42"	"3314"	"B18"	"42"	"Donor-3-EM"
"24906_6_43"	"3314"	"B19"	"43"	"Donor-3-EM"
"24906_6_44"	"3314"	"B20"	"44"	"Donor-3-EM"
"24906_6_45"	"3314"	"B21"	"45"	"Donor-3-EM"
"24906_6_46"	"3314"	"B22"	"46"	"Donor-3-EM"
"24906_6_47"	"3314"	"B23"	"47"	"Donor-3-EM"
"24906_6_48"	"3314"	"B24"	"48"	"Donor-3-EM"
"24906_6_49"	"3314"	"C01"	"49"	"Donor-3-DM"
"24906_6_50"	"3314"	"C02"	"50"	"Donor-3-DM"
"24906_6_51"	"3314"	"C03"	"51"	"Donor-3-DM"
"24906_6_52"	"3314"	"C04"	"52"	"Donor-3-DM"
"24906_6_53"	"3314"	"C05"	"53"	"Donor-3-DM"
"24906_6_54"	"3314"	"C06"	"54"	"Donor-3-DM"
"24906_6_55"	"3314"	"C07"	"55"	"Donor-3-DM"
"24906_6_56"	"3314"	"C08"	"56"	"Donor-3-DM"
"24906_6_57"	"3314"	"C09"	"57"	"Donor-3-DM"
"24906_6_58"	"3314"	"C10"	"58"	"Donor-3-DM"
"24906_6_59"	"3314"	"C11"	"59"	"Donor-3-DM"
"24906_6_60"	"3314"	"C12"	"60"	"Donor-3-DM"
"24906_6_61"	"3314"	"C13"	"61"	"Donor-3-EM"
"24906_6_62"	"3314"	"C14"	"62"	"Donor-3-EM"
"24906_6_63"	"3314"	"C15"	"63"	"Donor-3-EM"
"24906_6_64"	"3314"	"C16"	"64"	"Donor-3-EM"
"24906_6_65"	"3314"	"C17"	"65"	"Donor-3-EM"
